Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,576,216,400.64","1,576,216,401.15"
audio,"1,576,216,401.67","1,576,216,402.19"
writing,"1,576,217,274.94","1,576,217,278.03"
writing,"1,576,225,392.73","1,576,225,393.26"
audio,"1,576,225,393.80","1,576,225,396.88"
audio,"1,576,229,154.79","1,576,229,156.33"
writing,"1,576,232,222.78","1,576,232,224.32"
writing,"1,576,232,227.93","1,576,232,230.50"
writing,"1,576,232,274.36","1,576,232,310.48"
writing,"1,576,232,621.79","1,576,233,023.83"
